title,description,category,priority
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACHAT,HIGH
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Simple remarque sans caractère urgent.",MATERIEL,LOW
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Casque audio hors service,Mon casque ne produit plus aucun son lors des appels visio. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,MATERIEL,MEDIUM
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Imprimante bloquée,L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,MATERIEL,MEDIUM
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Validation d'un budget d'achat,Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACHAT,MEDIUM
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Impossible d'installer le logiciel comptable,Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",AUTRE,LOW
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Droits insuffisants sur une application,Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
Accès VPN refusé,La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",AUTRE,LOW
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",AUTRE,CRITICAL
Suggestion d'amélioration,Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,AUTRE,MEDIUM
Retour d'expérience,Je souhaite faire un retour sur mon expérience récente avec le support informatique. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,AUTRE,MEDIUM
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",AUTRE,CRITICAL
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Merci de traiter rapidement, cela ralentit fortement mon activité.",AUTRE,HIGH
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Débit réseau très faible en visio,Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Simple remarque sans caractère urgent.,RESEAU,LOW
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",AUTRE,MEDIUM
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Besoin d'une résolution rapide, l'impact sur mon travail est important.",AUTRE,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",MATERIEL,MEDIUM
Nouveau compte utilisateur,Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Simple remarque sans caractère urgent.",ACHAT,LOW
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",AUTRE,LOW
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",AUTRE,LOW
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Ce n'est pas prioritaire de mon côté, prenez votre temps.",AUTRE,LOW
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Demande d'information diverse,Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Simple remarque sans caractère urgent.,AUTRE,LOW
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Wifi instable au bureau,La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Simple remarque sans caractère urgent.,RESEAU,LOW
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Demande d'accès à un dossier partagé,Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Batterie d'ordinateur portable défaillante,La batterie de mon portable ne tient plus que quelques minutes hors secteur. Simple remarque sans caractère urgent.,MATERIEL,LOW
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Bug d'affichage dans le logiciel RH,Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Bug d'affichage dans le logiciel RH,Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",ACHAT,MEDIUM
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Commande de mobilier ergonomique,Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACHAT,MEDIUM
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Erreur au lancement d'une application,L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",AUTRE,HIGH
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",AUTRE,MEDIUM
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Simple remarque sans caractère urgent.",MATERIEL,LOW
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Merci de traiter rapidement, cela ralentit fortement mon activité.",LOGICIEL,HIGH
Demande de devis fournisseur,Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACHAT,MEDIUM
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Droits insuffisants sur une application,Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Besoin d'une résolution rapide, l'impact sur mon travail est important.",AUTRE,HIGH
Logiciel de messagerie qui ne synchronise plus,Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Badge d'accès désactivé,Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
Mise à jour bloquée,La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Mise à jour bloquée,La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Ce n'est pas prioritaire de mon côté, prenez votre temps.",LOGICIEL,LOW
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",ACHAT,MEDIUM
Partage réseau inaccessible,Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,RESEAU,MEDIUM
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Badge d'accès désactivé,"Mon badge d'accès aux locaux ne fonctionne plus depuis mon changement de service. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",RESEAU,LOW
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",AUTRE,CRITICAL
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Validation d'un budget d'achat,Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Simple remarque sans caractère urgent.,ACHAT,LOW
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",AUTRE,CRITICAL
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",AUTRE,MEDIUM
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",AUTRE,LOW
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
